record_id,pairing_status,video_path,video_status,fps,width,height,frame_count,duration_s,timestamp_source,strong_motion_paths,strong_motion_segments,strong_motion_samples,strong_motion_duration_s,pga_horizontal_vector_gal,pga_max_horizontal_component_gal,event_group,camera_id,site_id,scale_state
82,paired,${DATA_ROOT}/视频/82.avi,readable,50.0,2448,2048,5131,102.62,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/82.txt,1,8300,82.99,317.32887846207757,317.075,82,unknown,shake_table_setup_unknown,UNCALIBRATED
83,paired,${DATA_ROOT}/视频/83.avi,readable,50.0,2448,2048,2641,52.82,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/83.txt,1,7000,69.99,349.5029951516868,322.411,83,unknown,shake_table_setup_unknown,UNCALIBRATED
84,paired,${DATA_ROOT}/视频/84.avi,readable,50.0,2448,2048,1831,36.62,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/84.txt,1,5900,58.99,402.02150517727284,401.24,84,unknown,shake_table_setup_unknown,UNCALIBRATED
85,paired,${DATA_ROOT}/视频/85.avi,readable,50.0,2448,2048,2675,53.5,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/85.txt,1,6100,60.99,411.80734932368557,356.345,85,unknown,shake_table_setup_unknown,UNCALIBRATED
2_small,missing_strong_motion,${DATA_ROOT}/视频/2_small.avi,readable,50.0,612,512,1690,33.8,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,2_small,unknown,shake_table_setup_unknown,UNCALIBRATED
34_1,paired,${DATA_ROOT}/视频/34_1.avi,readable,50.0,2448,2048,3799,75.98,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/34_1.txt,1,8600,85.99,141.14173677548396,140.918,34_1,unknown,shake_table_setup_unknown,UNCALIBRATED
51q,paired,${DATA_ROOT}/视频/51q.avi,readable,50.0,2448,2048,3770,75.4,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/51q.txt,1,11600,115.99,75.90848176587383,54.498,51q,unknown,shake_table_setup_unknown,UNCALIBRATED
63qgaussy,paired,${DATA_ROOT}/视频/63qgaussy.avi,readable,50.0,2448,2048,3766,75.32,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/63qgaussy.txt,1,11600,115.99,54.266819521692994,54.25,63qgaussy,unknown,shake_table_setup_unknown,UNCALIBRATED
68qgaussy,paired,${DATA_ROOT}/视频/68qgaussy.avi,readable,50.0,2448,2048,3743,74.86,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/68qgaussy.txt,1,11600,115.99,47.28010584802027,47.24,68qgaussy,unknown,shake_table_setup_unknown,UNCALIBRATED
final_env,paired,${DATA_ROOT}/视频/final_env.avi,readable,49.950052,2448,2048,10514,210.49027136147927,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/final_env.txt,1,23600,235.99,0.32112614343899193,0.279,final_env,unknown,shake_table_setup_unknown,UNCALIBRATED
gaussx,paired,${DATA_ROOT}/视频/gaussx.avi,readable,49.950052,2448,2048,4235,84.78469652043606,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/gaussx.txt,1,11600,115.99,44.97636681636257,44.944,gaussx,unknown,shake_table_setup_unknown,UNCALIBRATED
gaussxy,paired,${DATA_ROOT}/视频/gaussxy.avi,readable,50.0,2448,2048,4295,85.9,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/gaussxy.txt,1,11600,115.99,68.63861435081569,53.654,gaussxy,unknown,shake_table_setup_unknown,UNCALIBRATED
gaussxyz,paired,${DATA_ROOT}/视频/gaussxyz.avi,readable,49.950052,2448,2048,4348,87.0469564275929,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/gaussxyz.txt,1,11600,115.99,82.53275079627481,62.823,gaussxyz,unknown,shake_table_setup_unknown,UNCALIBRATED
gaussy,paired,${DATA_ROOT}/视频/gaussy.avi,readable,50.0,2448,2048,4100,82.0,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/gaussy.txt,1,11600,115.99,50.50152838281233,50.495,gaussy,unknown,shake_table_setup_unknown,UNCALIBRATED
gaussz,paired,${DATA_ROOT}/视频/gaussz.avi,readable,50.0,2448,2048,4849,96.98,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/gaussz.txt,1,11600,115.99,6.357708549469691,5.591,gaussz,unknown,shake_table_setup_unknown,UNCALIBRATED
